Region,Month/Year,Occupancy Rate,Room nights sold (Rounded to nearest thousand)
Bay of Fundy/Annapolis Valley,September 2010,0,42000
Yarmouth/Acadian Shores,September 2010,0,6000
Province,September 2010,0,296000
South Shore,October 2010,0,15000
Halifax Metro,October 2010,0,118000
Eastern Shore,October 2010,0,3000
Cape Breton,October 2010,0,42000
Northumberland Shore,October 2010,0,16000
Bay of Fundy/Annapolis Valley,October 2010,0,32000
Yarmouth/Acadian Shores,October 2010,0,6000
Province,October 2010,0,234000
South Shore,November 2010,0,8000
Halifax Metro,November 2010,0,95000
Eastern Shore,November 2010,0,1000
Cape Breton,November 2010,0,18000
Northumberland Shore,November 2010,0,13000
Bay of Fundy/Annapolis Valley,November 2010,0,22000
Yarmouth/Acadian Shores,November 2010,0,6000
Province,November 2010,0,162000
South Shore,December 2010,0,6000
Halifax Metro,December 2010,0,64000
Eastern Shore,December 2010,0,0
Cape Breton,December 2010,0,13000
Northumberland Shore,December 2010,0,9000
Bay of Fundy/Annapolis Valley,December 2010,0,14000
Yarmouth/Acadian Shores,December 2010,0,3000
Province,December 2010,0,110000
South Shore,January 2011,0,6000
Halifax Metro,January 2011,0,72000
Eastern Shore,January 2011,0,0
Cape Breton,January 2011,0,12000
Northumberland Shore,January 2011,0,8000
Bay of Fundy/Annapolis Valley,January 2011,0,12000
Yarmouth/Acadian Shores,January 2011,0,3000
Province,January 2011,0,114000
South Shore,February 2011,0,7000
Halifax Metro,February 2011,0,97000
Eastern Shore,February 2011,0,1000
Cape Breton,February 2011,0,13000
Northumberland Shore,February 2011,0,9000
Bay of Fundy/Annapolis Valley,February 2011,0,17000
Yarmouth/Acadian Shores,February 2011,0,3000
Province,February 2011,0,146000
South Shore,March 2011,0,8000
Halifax Metro,March 2011,0,105000
Eastern Shore,March 2011,0,1000
Cape Breton,March 2011,0,16000
Northumberland Shore,March 2011,0,13000
Bay of Fundy/Annapolis Valley,March 2011,0,19000
Yarmouth/Acadian Shores,March 2011,0,4000
Province,March 2011,0,166000
South Shore,April 2011,0,8000
Halifax Metro,April 2011,0,101000
Eastern Shore,April 2011,0,0
Cape Breton,April 2011,0,14000
Northumberland Shore,April 2011,0,10000
Bay of Fundy/Annapolis Valley,April 2011,0,17000
Yarmouth/Acadian Shores,April 2011,0,4000
Province,April 2011,0,154000
South Shore,May 2011,0,12000
Halifax Metro,May 2011,0,114000
Eastern Shore,May 2011,0,1000
Cape Breton,May 2011,0,24000
Northumberland Shore,May 2011,0,17000
Bay of Fundy/Annapolis Valley,May 2011,0,29000
Yarmouth/Acadian Shores,May 2011,0,4000
Province,May 2011,0,201000
South Shore,June 2011,0,17000
Halifax Metro,June 2011,0,133000
Eastern Shore,June 2011,0,2000
Cape Breton,June 2011,0,37000
Northumberland Shore,June 2011,0,20000
Bay of Fundy/Annapolis Valley,June 2011,0,33000
Yarmouth/Acadian Shores,June 2011,0,5000
Province,June 2011,0,246000
South Shore,July 2011,0,26000
Halifax Metro,July 2011,0,159000
Eastern Shore,July 2011,0,4000
Cape Breton,July 2011,0,70000
Northumberland Shore,July 2011,0,35000
Bay of Fundy/Annapolis Valley,July 2011,0,50000
Yarmouth/Acadian Shores,July 2011,0,6000
Province,July 2011,0,348000
South Shore,August 2011,0,29000
Halifax Metro,August 2011,0,153000
Eastern Shore,August 2011,0,4000
