Mode of entry,Month/Year,Visitor Origin,Country,Number of Visitors (Rounded to nearest hundred)
Road,October 2006,West South Central,United States,300
Road,October 2006,Mountain,United States,400
Road,October 2006,Pacific,United States,400
Road,October 2006,Overseas,Overseas,0
Air,November 2006,Atlantic Canada,Canada,"5,800"
Air,November 2006,Quebec,Canada,"3,800"
Air,November 2006,Western Canada,Canada,"3,900"
Air,November 2006,New England (inc Maine),United States,"1,300"
Air,November 2006,Middle Atlantic,United States,"1,100"
Air,November 2006,East North Central,United States,700
Air,November 2006,West North Central,United States,100
Air,November 2006,South Atlantic,United States,"1,200"
Air,November 2006,East South Central,United States,100
Air,November 2006,West South Central,United States,500
Air,November 2006,Mountain,United States,300
Air,November 2006,Pacific,United States,500
Air,November 2006,United Kingdom,Overseas,700
Air,November 2006,Germany,Overseas,200
Air,November 2006,Other Europe,Overseas,"1,000"
Air,November 2006,Other Overseas,Overseas,"1,800"
Road,November 2006,Atlantic Canada,Canada,"80,000"
Road,November 2006,Quebec,Canada,"1,100"
Road,November 2006,Ontario,Canada,"4,400"
Road,November 2006,Western Canada,Canada,400
Road,November 2006,Maine (by road only),United States,600
Road,November 2006,Other New England,United States,"1,100"
Road,November 2006,Middle Atlantic,United States,400
Road,November 2006,East North Central,United States,100
Road,November 2006,West North Central,United States,100
Road,November 2006,South Atlantic,United States,200
Road,November 2006,East South Central,United States,0
Road,November 2006,West South Central,United States,0
Road,November 2006,Mountain,United States,0
Road,November 2006,Pacific,United States,100
Road,November 2006,Overseas,Overseas,0
Air,December 2006,Atlantic Canada,Canada,"6,000"
Air,December 2006,Quebec,Canada,"2,800"
Air,December 2006,Ontario,Canada,"16,400"
Air,December 2006,Western Canada,Canada,"5,600"
Air,December 2006,New England (inc Maine),United States,500
Air,December 2006,Middle Atlantic,United States,600
Air,December 2006,East North Central,United States,300
Air,December 2006,West North Central,United States,100
Air,December 2006,South Atlantic,United States,700
Air,December 2006,East South Central,United States,200
Air,December 2006,West South Central,United States,200
Air,December 2006,Mountain,United States,200
Air,December 2006,Pacific,United States,400
Air,December 2006,United Kingdom,Overseas,"1,400"
Air,December 2006,Germany,Overseas,300
Air,December 2006,Other Europe,Overseas,"1,000"
Air,December 2006,Other Overseas,Overseas,400
Road,December 2006,Atlantic Canada,Canada,"74,600"
Road,December 2006,Quebec,Canada,700
Road,December 2006,Ontario,Canada,"4,700"
Road,December 2006,Western Canada,Canada,200
Road,December 2006,Maine (by road only),United States,400
Road,December 2006,Other New England,United States,700
Road,December 2006,Middle Atlantic,United States,200
Road,December 2006,East North Central,United States,100
Road,December 2006,West North Central,United States,0
Road,December 2006,South Atlantic,United States,100
Road,December 2006,East South Central,United States,0
Road,December 2006,West South Central,United States,0
Road,December 2006,Mountain,United States,0
Road,December 2006,Pacific,United States,0
Road,December 2006,Overseas,Overseas,0
Air,January 2007,Atlantic Canada,Canada,"7,900"
Air,January 2007,Quebec,Canada,"3,600"
Air,January 2007,Ontario,Canada,"14,800"
Air,January 2007,Western Canada,Canada,"5,700"
Air,January 2007,New England (inc Maine),United States,500
Air,January 2007,Middle Atlantic,United States,500
Air,January 2007,East North Central,United States,400
Air,January 2007,West North Central,United States,100
Air,January 2007,South Atlantic,United States,900
Air,January 2007,East South Central,United States,100
Air,January 2007,West South Central,United States,300
Air,January 2007,Mountain,United States,200
Air,January 2007,Pacific,United States,400
Air,January 2007,United Kingdom,Overseas,"1,100"
Air,January 2007,Germany,Overseas,400
Air,January 2007,Other Europe,Overseas,700
Air,January 2007,Other Overseas,Overseas,900
Road,January 2007,Atlantic Canada,Canada,"64,700"
Road,January 2007,Quebec,Canada,500
Road,January 2007,Ontario,Canada,"2,000"
Road,January 2007,Western Canada,Canada,100
Road,January 2007,Maine (by road only),United States,200
Road,January 2007,Other New England,United States,400
Road,January 2007,Middle Atlantic,United States,100
Road,January 2007,East North Central,United States,100
Road,January 2007,West North Central,United States,0
Road,January 2007,South Atlantic,United States,0
Road,January 2007,East South Central,United States,0
Road,January 2007,West South Central,United States,0
Road,January 2007,Mountain,United States,0
Road,January 2007,Pacific,United States,0
Road,January 2007,Overseas,Overseas,0
Air,February 2007,Atlantic Canada,Canada,"7,300"
Air,February 2007,Quebec,Canada,"3,900"
Air,February 2007,Ontario,Canada,"14,200"
Air,February 2007,Western Canada,Canada,"6,300"
Air,February 2007,New England (inc Maine),United States,700
Air,February 2007,Middle Atlantic,United States,400
Air,February 2007,East North Central,United States,400
Air,February 2007,West North Central,United States,100
Air,February 2007,South Atlantic,United States,600
Air,February 2007,East South Central,United States,200
